小区,纬度,经度
安化路185-187号小区,31.22147,121.434563
安化路115-117号小区,31.221699,121.436152
安化路121-129号小区,31.221486,121.436288
利西路52-54号小区,31.221576,121.437371
利西路124-128号小区,31.221003,121.436378
利西路123-133号小区,31.221093,121.436109
大华锦绣华城十九街区(别墅),31.182194,121.547497
殷行一村,31.331169,121.54844
南中路98弄小区,30.919489,121.464471
联丰二期,31.165421,121.511869
西潭新村,31.053148,121.760408
兰溪路223-229号小区,31.252759,121.40854
湾流域城(金地湾流域二期别墅),31.153965,121.526607
体育场路22支弄小区,30.921274,121.460358
布鲁斯小镇(二期别墅),31.038953,121.773745
湾流域城(金地湾流域三期别墅),31.152146,121.523512
湾流域城(金地湾流域三期公寓),31.152753,121.523149
妙栏路392弄小区,31.19192,121.697381
燎北村,30.874735,121.645553
虹盛路85弄小区,31.243682,121.688325
东方路402弄小区,31.239839,121.528464
华夏二路201弄小区,31.200238,121.689283
众城商厦,31.213605,121.523108
城南路329弄小区,31.198005,121.708554
洛川路22-28号小区,31.263592,121.445564
浦东南路1380弄小区,31.22998,121.523907
金国大厦,31.203088,121.517481
乐城路3弄小区,31.036212,121.603175
浦东南路2366号小区,31.204944,121.517813
泰祥楼,31.200288,121.51908
潍坊路156-158号小区,31.23151,121.532646
钱仓路402弄小区,31.244481,121.527709
塘南路159弄小区,31.208233,121.516323
城南路368弄小区,31.198125,121.708514
潍坊路148-152号小区,31.231331,121.532153
控江路764弄小区,31.290075,121.544239
开鲁路31弄小区,31.330424,121.548319
开鲁路33弄小区,31.330828,121.548189
隆昌路700弄小区,31.289021,121.544577
军工路周家小区,31.292141,121.562234
青云路702-758号小区,31.266933,121.472941
海南西弄56号小区,31.216811,121.503811
蒙自路212-218号小区,31.211372,121.48407
牌楼路23-29号小区,31.219968,121.492759
"北京东路335,345,355号小区",31.245962,121.489577
昭化路301-305号小区,31.21856,121.432255
帕缇欧香苑(二期公寓),31.14524,121.125485
东滨花苑(东区),31.334111,121.629353
城林美苑(西区),31.130783,121.509496
邯郸小区,31.300852,121.496968
胶州路125弄小区,31.232509,121.450294
国和路427号小区,31.314436,121.526176
国伟新苑,31.336356,121.543725
君庭广场(公寓),31.316724,121.512233
戎辉苑,31.334825,121.510461
尊堡园(公寓),31.317433,121.506506
阳光欧洲公寓,31.314047,121.521432
兰花教师公寓(北区),31.310119,121.541126
爱国二村,31.284735,121.560094
戎泽苑,31.335356678639,121.50425971501
控江小区,31.2801,121.516053
控江西三村,31.291063,121.538019
鞍山二村,31.279489,121.516579
北京西路1182-1198号,31.235809,121.457995
成亿花园(东区),31.304976,121.437638
成亿花园(西区),31.30297,121.435527
棠浦路101-105号小区,31.24545,121.412485
贝尚湾1号,31.152521,121.324415
槎浦新家园(北园),31.293771,121.335349
日月华庭(三期),31.068803,121.396297
莲中路356弄小区,31.186007,121.564335
春江三月公寓(一期),31.193873,121.238625
影城小筑,31.217168,121.559036
东三街15弄小区,31.207308,121.513449
鸿海大楼,30.716965,121.357075
张杨北路5449弄小区,31.348426,121.581843
大华伊斐墅,31.18226,121.531981
渔港路213弄小区,30.87729,121.856716
联丰一期,31.165196,121.509715
浦东南路2370弄小区,31.204663,121.517648
三八路110弄小区,31.051987,121.76589
逸时区,30.980595,121.51981
双辽路155弄小区,31.276262,121.52494
杭州路1000弄小区,31.275414,121.554148
长阳路1900弄小区,31.277183,121.545913
闸殷路195弄小区,31.335627,121.537166
控江路1200弄小区,31.283889,121.53255
中原路34弄小区,31.315589,121.538669
佳木斯路185弄小区,31.305199,121.548024
工农四村星源公寓,31.328707,121.548883
革新路10号甲-20号甲小区,31.344693,121.461763
控江路680弄小区,31.291104,121.54611
控江路740弄小区,31.290394,121.545638
开鲁路286弄小区,31.331782,121.543491
殷行路301弄小区,31.332665,121.547686
北蔡大街32弄小区,31.194269,121.560198
广衍路29弄小区,31.045067,121.759063
江东路1441弄小区,31.371333,121.551537
城南路374弄小区,31.198254,121.708147
义王路101弄小区,31.353348,121.589523
鹿汇花园,31.125227,121.707231
长清路2365弄小区,31.141528,121.50717
川北公路2640弄小区,31.208557,121.616829
北蔡大街72弄小区,31.193489,121.559964
博士后公寓,31.201701,121.590272
碧云花园伊顿府邸,31.242294,121.592113
北中路278弄小区,31.189533,121.562873
碧云花园二期,31.243847,121.589136
碧云别墅(北区),31.244726,121.594006
北蔡大街31弄小区,31.193803,121.560152
碧云别墅(南区),31.241345,121.595632
北中路417弄小区,31.190531,121.566824
北中路175弄小区,31.189822,121.561536
川虹新苑,31.185544,121.719898
贝越佳园(北区),31.209108,121.622392
大华斐勒公园,31.184612,121.532248
东高路119弄小区,31.296453,121.581269
峨山路455弄小区,31.220658,121.532607
绿川小区(东区),31.177979,121.557268
东方路3391弄小区,31.196552,121.520308
芳草路363弄小区,31.198563,121.564976
芳草路238弄小区,31.199418,121.562349
东方路3401弄小区,31.196369,121.520447
富田花苑(公寓),31.034936,121.602699
高科西路3060弄小区,31.195999,121.569862
龚新路549弄小区,31.263415,121.690312
古华一区,30.920867,121.469479
日月新殿(东区),31.161191,121.503303
恒盛湖畔豪庭(西区),30.935588,121.491938
恒盛湖畔豪庭(东区),30.936371,121.495938
汇福家园安康里(西区),31.101955,121.607763
汇福家园昌盛里(北区),31.100421,121.612669
金昊雅苑(南区),30.923458,121.509683
江海二村,30.906437,121.462528
汇福家园昌盛里(南区),31.097862,121.612597
龙居花苑(南区),31.260904,121.567583
金桥湾清水苑(二期),31.266215,121.60352
锦三角花园(别墅),31.192989,121.54884
胶东路533弄小区,31.26499,121.605871
莲安西路199弄小区,31.18662,121.5574
莲溪路430弄小区,31.188798,121.56703
巨野路109弄小区,31.248578,121.551499
连波路228弄小区,31.197827,121.559814
丽都璟庭,30.911998,121.819577
莲园路580弄小区,31.192199,121.566355
莲安西路225弄小区,31.186571,121.557465
莲东新村,31.187735,121.567227
绿宝园,31.137132,121.570541
罗山绿洲,31.156799,121.594053
龙泽家园(一期),31.114424,121.58338
陆家嘴滨江公馆,31.250688,121.548787
南华城,31.126776,121.553388
南市街49弄小区,31.200447,121.711239
妙城公寓,31.196212,121.698769
浦城苑,30.919024,121.476839
南新新村,30.920727,121.464397
桃园新城中虹佳园(北区),31.104671,121.590473
申云小区(东区),31.046429,121.760074
浦祥苑,31.190047,121.523803
栖山路140弄小区,31.249316,121.55101
浦东南路3643弄小区,31.200589,121.515249
栖山路470弄小区,31.253656,121.557736
瑞浦嘉苑(东区),31.093708,121.595453
